"AU_scale";"AU";"Area_km2";"Substance";"Type";"Matrix";"CR";"ConfThresh";"CountStations";"CountData";"ConfSpatial";"ConfMethod";"ConfTemp"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";4.099695111;"H";18;18;"H";"H";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"CS-137";"Rad";"Biota";1.256419753;"H";3;3;"M";"H";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";9.486832981;"H";18;18;"H";"H";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"CS-137";"Rad";"Water";1.203061437;"H";1;1;"L";"L";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";9.924212815;"H";18;18;"H";"M";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";21.16601049;"H";18;18;"H";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HBCD";"Org";"Biota";0.009625377;"H";4;4;"M";"M";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";0.072441525;"H";6;12;"H";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";0.089010989;"H";6;12;"H";"L";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";0.176923077;"H";6;12;"H";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";3;"H";18;18;"H";"L";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";0.196703297;"H";6;12;"H";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SBD6";"Org";"Biota";1063.348416;"H";6;6;"M";"M";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SCB6";"Org";"Biota";2.535897436;"H";6;6;"M";"H";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";3.372684391;"H";18;18;"H";"H";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";2.236067977;"H";18;18;"H";"H";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SBD6";"Org";"Biota";202.2058824;"H";6;6;"M";"M";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SCB6";"Org";"Biota";0.177083333;"H";6;6;"M";"L";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"CS-137";"Rad";"Biota";1.60714;"H";3;3;"M";"L";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"CS-137";"Rad";"Biota";1.215185185;"H";3;3;"M";"M";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HBCD";"Org";"Biota";0.003379502;"H";4;4;"M";"L";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";6.45;"H";18;18;"H";"M";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";1.164835165;"H";6;12;"H";"H";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";1.290355107;"H";6;12;"H";"M";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";1.313770029;"H";6;12;"H";"H";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SBD6";"Org";"Biota";89.53942135;"H";6;6;"M";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SCB6";"Org";"Biota";0.664909966;"H";6;6;"M";"M";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"HG";"HM";"Biota";6.34428877;"H";18;18;"H";"L";"H"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"PFOS";"Org";"Biota";0.193406593;"H";6;12;"H";"M";"L"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SBD6";"Org";"Biota";230.1790281;"H";6;6;"M";"H";"M"
3;"Gulf of Finland Finnish coastal waters";5739.28467986;"SCB6";"Org";"Biota";0.305797101;"H";6;6;"M";"H";"H"
