"Station";"longitude";"latitude";"Matrix";"Substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfStatus";"Datatype"
"NORM-Letholt";10.5155;57.37833;"Biota";"HG";"HM";0.73298;"All";"+";"H";"H";"All"
"NORM-Letholt";10.5155;57.37833;"Biota";"PB";"HM";0.823883808;"All";"+";"H";"H";"All"
"NORM-Oernedal";9.84683;56.6375;"Biota";"BAP";"Org";0.12;"All";"+";"H";"H";"All"
"NORM-Oernedal";9.84683;56.6375;"Biota";"CD";"HM";0.573120629;"All";"+";"H";"H";"All"
"NORM-Oernedal";9.84683;56.6375;"Biota";"FLU";"Org";0.096666667;"All";"+";"H";"H";"All"
"NORM-Oernedal";9.84683;56.6375;"Biota";"HG";"HM";0.97713;"All";"+";"H";"H";"All"
"NORM-Oernedal";9.84683;56.6375;"Biota";"PB";"HM";0.477837547;"All";"+";"H";"H";"All"
"NORM-Palmestrn";10.54233;57.4605;"Biota";"BAP";"Org";0.258;"All";"+";"H";"H";"All"
"NORM-Palmestrn";10.54233;57.4605;"Biota";"CD";"HM";1.240734266;"All";"+";"H";"H";"All"
"NORM-Palmestrn";10.54233;57.4605;"Biota";"FLU";"Org";0.142666667;"All";"+";"H";"H";"All"
"NORM-Palmestrn";10.54233;57.4605;"Biota";"HG";"HM";0.73386;"All";"+";"H";"H";"All"
"NORM-Palmestrn";10.54233;57.4605;"Biota";"PB";"HM";1.657019903;"All";"+";"H";"H";"All"
"NORM-Rugholm";10.49;57.50433;"Biota";"BAP";"Org";0.354;"All";"+";"H";"H";"All"
"NORM-Rugholm";10.49;57.50433;"Biota";"CD";"HM";1.018902972;"All";"+";"H";"H";"All"
"NORM-Rugholm";10.49;57.50433;"Biota";"FLU";"Org";0.122;"All";"+";"H";"H";"All"
"NORM-Rugholm";10.49;57.50433;"Biota";"HG";"HM";0.624775;"All";"+";"H";"H";"All"
"NORM-Rugholm";10.49;57.50433;"Biota";"PB";"HM";1.003227542;"All";"+";"H";"H";"All"
"NORM-Saeby-syd";10.52783;57.32467;"Biota";"BAP";"Org";0.152;"All";"+";"H";"H";"All"
"NORM-Saeby-syd";10.52783;57.32467;"Biota";"CD";"HM";0.389117133;"All";"+";"H";"H";"All"
"NORM-Saeby-syd";10.52783;57.32467;"Biota";"FLU";"Org";0.148;"All";"+";"H";"H";"All"
"NORM-Saeby-syd";10.52783;57.32467;"Biota";"HG";"HM";0.93021;"All";"+";"H";"H";"All"
"NORM-Saeby-syd";10.52783;57.32467;"Biota";"PB";"HM";1.387197418;"All";"+";"H";"H";"All"
"NORM-SkagenFyr";10.63145;57.73518;"Biota";"BAP";"Org";0.385367357;"All";"+";"H";"H";"All"
"NORM-SkagenFyr";10.63145;57.73518;"Biota";"CD";"HM";1.10021872;"All";"+";"H";"H";"All"
"NORM-SkagenFyr";10.63145;57.73518;"Biota";"FLU";"Org";0.310555059;"All";"+";"H";"H";"All"
"NORM-SkagenFyr";10.63145;57.73518;"Biota";"HG";"HM";1.127251282;"All";"+";"H";"H";"All"
"NORM-SkagenFyr";10.63145;57.73518;"Biota";"PB";"HM";1.18450824;"All";"+";"H";"H";"All"
"NORM-Stokken";10.866;57.263;"Biota";"BAP";"Org";0.1;"All";"+";"H";"H";"All"
"NORM-Stokken";10.866;57.263;"Biota";"CD";"HM";0.70530303;"All";"+";"H";"H";"All"
"NORM-Stokken";10.866;57.263;"Biota";"FLU";"Org";0.152;"All";"+";"H";"H";"All"
